icd9_code,name,group,allergent,type
995.3,Nut Allergy,Food Allergy,Almond,Nut and seed
995.3,Oral Allergy Syndrome,Food Allergy,Apple,Fruit
995.3,Stone Fruit Allergy,Food Allergy,Apricot,Fruit
995.3,Insulin Allergy,Food Allergy,Artichoke,Vegetable
995.3,Allium Allergy,Food Allergy,Asparagus,Vegetable
995.3,Oral Allergy Syndrome,Food Allergy,Avocado,Fruit
995.3,Histamine Allergy,Food Allergy,Bamboo shoot,Vegetable
995.3,Banana Allergy,Food Allergy,Banana,Fruit
579.0,Gluten Allergy,Food Allergy,Barley,Cereal grain and pulse
995.3,Legume Allergy,Food Allergy,Bean,Cereal grain and pulse
995.3,Salicylate Allergy,Food Allergy,Blackberry,Fruit
995.3,Legume Allergy,Food Allergy,Black-eyed bean,Cereal grain and pulse
995.3,Salicylate Allergy,Food Allergy,Blueberry,Fruit
995.3,Histamine Allergy,Food Allergy,Bonito,Aquatic animal
995.3,Legume Allergy,Food Allergy,Broad bean,Cereal grain and pulse
995.3,Broccoli allergy,Food Allergy,Broccoli,Vegetable
995.3,Cruciferous Allergy,Food Allergy,Brussels sprouts,Vegetable
579.0,Gluten Allergy,Food Allergy,Buckwheat,Cereal grain and pulse
995.3,Ragweed Allergy,Food Allergy,Burdock,Vegetable
995.3,Milk allergy / Lactose intolerance,Food Allergy,Butter,Dairy
995.3,Legume Allergy,Food Allergy,Butter bean,Cereal grain and pulse
995.3,Milk allergy / Lactose intolerance,Food Allergy,Buttermilk,Dairy
995.3,Mushroom Allergy,Food Allergy,Button mushroom,Vegetable
995.3,Cruciferous Allergy,Food Allergy,Cabbage,Vegetable
995.3,Cacao bean Allergy,Food Allergy,Cacao bean,Nut and seed
995.3,Canola oil Allergy,Food Allergy,Canola oil,Oil
995.3,Hypersensitivity,Food Allergy,Carrot,Vegetable
995.3,Milk allergy / Lactose intolerance,Food Allergy,Casein,Dairy
995.3,Alpha-gal Syndrome,Food Allergy,Cattle,Terrestrial mammal
995.3,Cruciferous Allergy,Food Allergy,Cauliflower,Vegetable
995.3,Hypersensitivity,Food Allergy,Celery,Vegetable
995.3,Milk allergy / Lactose intolerance,Food Allergy,Cheese,Dairy
995.3,Stone Fruit Allergy,Food Allergy,Cherry,Fruit
995.3,Nut Allergy,Food Allergy,Chestnut,Nut and seed
995.3,Poultry Allergy,Food Allergy,Chicken,Poultry
995.3,Insulin Allergy,Food Allergy,Chicory,Vegetable
995.3,Cruciferous Allergy,Food Allergy,Chinese cabbage,Vegetable
995.3,Coconut oil Allergy,Food Allergy,Coconut oil,Oil
995.3,Ochratoxin Allergy,Food Allergy,Coffee bean,Nut and seed
995.3,Corn Allergy,Food Allergy,Corn,Cereal grain and pulse
995.3,Corn oil Allergy,Food Allergy,Corn oil,Oil
995.3,Seed Allergy,Food Allergy,Cotton seed,Nut and seed
995.3,Salicylate Allergy,Food Allergy,Cranberry,Fruit
995.3,Milk allergy / Lactose intolerance,Food Allergy,Cream,Dairy
995.3,Shellfish Allergy,Food Allergy,Crustaceans,Aquatic animal
