code,name,description
A000,"Cholera due to Vibrio cholerae 01, biovar cholerae","This condition is related to cholera due to vibrio cholerae 01, biovar cholerae."
A001,"Cholera due to Vibrio cholerae 01, biovar eltor","This condition is related to cholera due to vibrio cholerae 01, biovar eltor."
A009,"Cholera, unspecified","This condition is related to cholera, unspecified."
A0100,"Typhoid fever, unspecified","This condition is related to typhoid fever, unspecified."
A0101,Typhoid meningitis,This condition is related to typhoid meningitis.
A5706,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A2987,Condition related to Meningitis,This condition is related to condition related to meningitis.
A2401,Condition related to Influenza,This condition is related to condition related to influenza.
A3452,Condition related to Meningitis,This condition is related to condition related to meningitis.
A9342,Condition related to Meningitis,This condition is related to condition related to meningitis.
A4908,Condition related to Cholera,This condition is related to condition related to cholera.
A5461,Condition related to Cholera,This condition is related to condition related to cholera.
A2506,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A6802,Condition related to Meningitis,This condition is related to condition related to meningitis.
A3766,Condition related to Cholera,This condition is related to condition related to cholera.
A3287,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A1577,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A1814,Condition related to Meningitis,This condition is related to condition related to meningitis.
A4582,Condition related to Influenza,This condition is related to condition related to influenza.
A2635,Condition related to Meningitis,This condition is related to condition related to meningitis.
A8505,Condition related to Influenza,This condition is related to condition related to influenza.
A2918,Condition related to Influenza,This condition is related to condition related to influenza.
A3216,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A7553,Condition related to Meningitis,This condition is related to condition related to meningitis.
A9573,Condition related to Meningitis,This condition is related to condition related to meningitis.
A1941,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A8678,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A4232,Condition related to Cholera,This condition is related to condition related to cholera.
A2573,Condition related to Cholera,This condition is related to condition related to cholera.
A6114,Condition related to Meningitis,This condition is related to condition related to meningitis.
A6314,Condition related to Influenza,This condition is related to condition related to influenza.
A3395,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A5204,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A1394,Condition related to Influenza,This condition is related to condition related to influenza.
A6352,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A9942,Condition related to Influenza,This condition is related to condition related to influenza.
A1188,Condition related to Cholera,This condition is related to condition related to cholera.
A5247,Condition related to Cholera,This condition is related to condition related to cholera.
A3250,Condition related to Influenza,This condition is related to condition related to influenza.
A7557,Condition related to Cholera,This condition is related to condition related to cholera.
A4034,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A4273,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A5323,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A5278,Condition related to Influenza,This condition is related to condition related to influenza.
A2030,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A4507,Condition related to Meningitis,This condition is related to condition related to meningitis.
A1629,Condition related to Influenza,This condition is related to condition related to influenza.
A4308,Condition related to Cholera,This condition is related to condition related to cholera.
A3047,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A7823,Condition related to Meningitis,This condition is related to condition related to meningitis.
A8391,Condition related to Cholera,This condition is related to condition related to cholera.
A3399,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A6006,Condition related to Influenza,This condition is related to condition related to influenza.
A2358,Condition related to Cholera,This condition is related to condition related to cholera.
A6376,Condition related to Influenza,This condition is related to condition related to influenza.
A6252,Condition related to Influenza,This condition is related to condition related to influenza.
A8607,Condition related to Meningitis,This condition is related to condition related to meningitis.
A9697,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A4221,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A8443,Condition related to Meningitis,This condition is related to condition related to meningitis.
A3868,Condition related to Influenza,This condition is related to condition related to influenza.
A4126,Condition related to Influenza,This condition is related to condition related to influenza.
A5713,Condition related to Meningitis,This condition is related to condition related to meningitis.
A5951,Condition related to Influenza,This condition is related to condition related to influenza.
A1206,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A3295,Condition related to Cholera,This condition is related to condition related to cholera.
A3112,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A6271,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A1106,Condition related to Influenza,This condition is related to condition related to influenza.
A8280,Condition related to Meningitis,This condition is related to condition related to meningitis.
A7931,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A6276,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A1598,Condition related to Meningitis,This condition is related to condition related to meningitis.
A1958,Condition related to Meningitis,This condition is related to condition related to meningitis.
A4244,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A2139,Condition related to Meningitis,This condition is related to condition related to meningitis.
A4583,Condition related to Cholera,This condition is related to condition related to cholera.
A5448,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A6575,Condition related to Cholera,This condition is related to condition related to cholera.
A1046,Condition related to Meningitis,This condition is related to condition related to meningitis.
A1561,Condition related to Influenza,This condition is related to condition related to influenza.
A9567,Condition related to Meningitis,This condition is related to condition related to meningitis.
A3992,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A4436,Condition related to Influenza,This condition is related to condition related to influenza.
A4377,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A7550,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A5593,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A1504,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A6650,Condition related to Meningitis,This condition is related to condition related to meningitis.
A3182,Condition related to Cholera,This condition is related to condition related to cholera.
A8056,Condition related to Influenza,This condition is related to condition related to influenza.
A5975,Condition related to Influenza,This condition is related to condition related to influenza.
A7467,Condition related to Cholera,This condition is related to condition related to cholera.
A8291,Condition related to Influenza,This condition is related to condition related to influenza.
A3898,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A6582,Condition related to Influenza,This condition is related to condition related to influenza.
A6845,Condition related to Influenza,This condition is related to condition related to influenza.
A8777,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A4400,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A5024,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A8743,Condition related to Cholera,This condition is related to condition related to cholera.
A3580,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A5995,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A4350,Condition related to Meningitis,This condition is related to condition related to meningitis.
A6073,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A8020,Condition related to Meningitis,This condition is related to condition related to meningitis.
A3970,Condition related to Influenza,This condition is related to condition related to influenza.
A6933,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A5157,Condition related to Meningitis,This condition is related to condition related to meningitis.
A5492,Condition related to Meningitis,This condition is related to condition related to meningitis.
A6366,Condition related to Meningitis,This condition is related to condition related to meningitis.
A5376,Condition related to Meningitis,This condition is related to condition related to meningitis.
A1519,Condition related to Influenza,This condition is related to condition related to influenza.
A8231,Condition related to Cholera,This condition is related to condition related to cholera.
A3642,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A7511,Condition related to Influenza,This condition is related to condition related to influenza.
A7755,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A1824,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A2860,Condition related to Influenza,This condition is related to condition related to influenza.
A7591,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A7624,Condition related to Meningitis,This condition is related to condition related to meningitis.
A5087,Condition related to Meningitis,This condition is related to condition related to meningitis.
A8660,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A4356,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A7192,Condition related to Meningitis,This condition is related to condition related to meningitis.
A6959,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A5687,Condition related to Cholera,This condition is related to condition related to cholera.
A3904,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A9897,Condition related to Meningitis,This condition is related to condition related to meningitis.
A2218,Condition related to Meningitis,This condition is related to condition related to meningitis.
A5978,Condition related to Influenza,This condition is related to condition related to influenza.
A1243,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A9542,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A6272,Condition related to Cholera,This condition is related to condition related to cholera.
A1018,Condition related to Influenza,This condition is related to condition related to influenza.
A6380,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A1666,Condition related to Cholera,This condition is related to condition related to cholera.
A4831,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A4371,Condition related to Influenza,This condition is related to condition related to influenza.
A4814,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A7190,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A6665,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A5033,Condition related to Cholera,This condition is related to condition related to cholera.
A1692,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A7522,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A3977,Condition related to Cholera,This condition is related to condition related to cholera.
A5774,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A1392,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A4893,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A8779,Condition related to Influenza,This condition is related to condition related to influenza.
A9754,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A6394,Condition related to Influenza,This condition is related to condition related to influenza.
A8602,Condition related to Influenza,This condition is related to condition related to influenza.
A2942,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A4088,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A2979,Condition related to Meningitis,This condition is related to condition related to meningitis.
A8965,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A6902,Condition related to Meningitis,This condition is related to condition related to meningitis.
A5561,Condition related to Meningitis,This condition is related to condition related to meningitis.
A2431,Condition related to Influenza,This condition is related to condition related to influenza.
A4326,Condition related to Influenza,This condition is related to condition related to influenza.
A4471,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A8421,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A8146,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A2871,Condition related to Meningitis,This condition is related to condition related to meningitis.
A6310,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A4347,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A5382,Condition related to Influenza,This condition is related to condition related to influenza.
A7582,Condition related to Meningitis,This condition is related to condition related to meningitis.
A9839,Condition related to Meningitis,This condition is related to condition related to meningitis.
A8027,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A9478,Condition related to Meningitis,This condition is related to condition related to meningitis.
A5808,Condition related to Influenza,This condition is related to condition related to influenza.
A3827,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A4910,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A7193,Condition related to Cholera,This condition is related to condition related to cholera.
A9253,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A3504,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A7555,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A1851,Condition related to Influenza,This condition is related to condition related to influenza.
A8349,Condition related to Influenza,This condition is related to condition related to influenza.
A7131,Condition related to Meningitis,This condition is related to condition related to meningitis.
A2658,Condition related to Influenza,This condition is related to condition related to influenza.
A8377,Condition related to Cholera,This condition is related to condition related to cholera.
A7231,Condition related to Meningitis,This condition is related to condition related to meningitis.
A4428,Condition related to Influenza,This condition is related to condition related to influenza.
A1766,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A9819,Condition related to Cholera,This condition is related to condition related to cholera.
A5229,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A7621,Condition related to Meningitis,This condition is related to condition related to meningitis.
A7113,Condition related to Influenza,This condition is related to condition related to influenza.
A8469,Condition related to Influenza,This condition is related to condition related to influenza.
A5373,Condition related to Cholera,This condition is related to condition related to cholera.
A4555,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A6260,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A7415,Condition related to Influenza,This condition is related to condition related to influenza.
A7735,Condition related to Influenza,This condition is related to condition related to influenza.
A1190,Condition related to Cholera,This condition is related to condition related to cholera.
A5549,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A7390,Condition related to Cholera,This condition is related to condition related to cholera.
A8235,Condition related to Meningitis,This condition is related to condition related to meningitis.
A4250,Condition related to Influenza,This condition is related to condition related to influenza.
A1777,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A6144,Condition related to Meningitis,This condition is related to condition related to meningitis.
A7418,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A6510,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A6064,Condition related to Influenza,This condition is related to condition related to influenza.
A6293,Condition related to Meningitis,This condition is related to condition related to meningitis.
A7234,Condition related to Cholera,This condition is related to condition related to cholera.
A3639,Condition related to Influenza,This condition is related to condition related to influenza.
A6747,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A9980,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A9513,Condition related to Cholera,This condition is related to condition related to cholera.
A1050,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A8548,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A1370,Condition related to Meningitis,This condition is related to condition related to meningitis.
A5411,Condition related to Influenza,This condition is related to condition related to influenza.
A5521,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A4676,Condition related to Cholera,This condition is related to condition related to cholera.
A8008,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A8153,Condition related to Cholera,This condition is related to condition related to cholera.
A3510,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A9069,Condition related to Meningitis,This condition is related to condition related to meningitis.
A8249,Condition related to Meningitis,This condition is related to condition related to meningitis.
A4415,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A9189,Condition related to Meningitis,This condition is related to condition related to meningitis.
A3353,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A5011,Condition related to Cholera,This condition is related to condition related to cholera.
A4034,Condition related to Influenza,This condition is related to condition related to influenza.
A5892,Condition related to Meningitis,This condition is related to condition related to meningitis.
A7347,Condition related to Influenza,This condition is related to condition related to influenza.
A7307,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A3973,Condition related to Influenza,This condition is related to condition related to influenza.
A8105,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A7599,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A2385,Condition related to Meningitis,This condition is related to condition related to meningitis.
A5990,Condition related to Cholera,This condition is related to condition related to cholera.
A8250,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A9830,Condition related to Meningitis,This condition is related to condition related to meningitis.
A1407,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A2706,Condition related to Meningitis,This condition is related to condition related to meningitis.
A3495,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A9269,Condition related to Influenza,This condition is related to condition related to influenza.
A9349,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A9849,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A9776,Condition related to Cholera,This condition is related to condition related to cholera.
A1214,Condition related to Influenza,This condition is related to condition related to influenza.
A8812,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A8812,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A7633,Condition related to Influenza,This condition is related to condition related to influenza.
A6334,Condition related to Influenza,This condition is related to condition related to influenza.
A6657,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A5331,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A2107,Condition related to Influenza,This condition is related to condition related to influenza.
A6761,Condition related to Influenza,This condition is related to condition related to influenza.
A9289,Condition related to Meningitis,This condition is related to condition related to meningitis.
A9991,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A9206,Condition related to Cholera,This condition is related to condition related to cholera.
A4303,Condition related to Cholera,This condition is related to condition related to cholera.
A1700,Condition related to Influenza,This condition is related to condition related to influenza.
A4603,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A6607,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A6786,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A6347,Condition related to Influenza,This condition is related to condition related to influenza.
A6043,Condition related to Meningitis,This condition is related to condition related to meningitis.
A9324,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A2327,Condition related to Meningitis,This condition is related to condition related to meningitis.
A7184,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A1174,Condition related to Cholera,This condition is related to condition related to cholera.
A1859,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A8101,Condition related to Cholera,This condition is related to condition related to cholera.
A6300,Condition related to Influenza,This condition is related to condition related to influenza.
A3575,Condition related to Cholera,This condition is related to condition related to cholera.
A1373,Condition related to Influenza,This condition is related to condition related to influenza.
A4232,Condition related to Meningitis,This condition is related to condition related to meningitis.
A7656,Condition related to Meningitis,This condition is related to condition related to meningitis.
A8717,Condition related to Meningitis,This condition is related to condition related to meningitis.
A9835,Condition related to Meningitis,This condition is related to condition related to meningitis.
A2678,Condition related to Cholera,This condition is related to condition related to cholera.
A4677,Condition related to Cholera,This condition is related to condition related to cholera.
A5769,Condition related to Meningitis,This condition is related to condition related to meningitis.
A3607,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A8990,Condition related to Meningitis,This condition is related to condition related to meningitis.
A4794,Condition related to Influenza,This condition is related to condition related to influenza.
A4395,Condition related to Influenza,This condition is related to condition related to influenza.
A4631,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A2294,Condition related to Meningitis,This condition is related to condition related to meningitis.
A1712,Condition related to Cholera,This condition is related to condition related to cholera.
A6099,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A1726,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A3857,Condition related to Meningitis,This condition is related to condition related to meningitis.
A4731,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A5018,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A2243,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A9263,Condition related to Cholera,This condition is related to condition related to cholera.
A7111,Condition related to Cholera,This condition is related to condition related to cholera.
A6740,Condition related to Meningitis,This condition is related to condition related to meningitis.
A2584,Condition related to Cholera,This condition is related to condition related to cholera.
A5555,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A1925,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A9729,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A8894,Condition related to Cholera,This condition is related to condition related to cholera.
A7451,Condition related to Meningitis,This condition is related to condition related to meningitis.
A6898,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A8244,Condition related to Cholera,This condition is related to condition related to cholera.
A1355,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A7573,Condition related to Cholera,This condition is related to condition related to cholera.
A2292,Condition related to Influenza,This condition is related to condition related to influenza.
A6958,Condition related to Meningitis,This condition is related to condition related to meningitis.
A4532,Condition related to Cholera,This condition is related to condition related to cholera.
A8865,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A3445,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A1243,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A9963,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A2490,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
