code,name,description
A001,"Cholera due to Vibrio cholerae 01, biovar eltor","A medical condition known as cholera due to vibrio cholerae 01, biovar eltor."
A009,"Cholera, unspecified","A medical condition known as cholera, unspecified."
A0100,"Typhoid fever, unspecified","A medical condition known as typhoid fever, unspecified."
A0101,Typhoid meningitis,A medical condition known as typhoid meningitis.
A0102,Typhoid fever with heart involvement,A medical condition known as typhoid fever with heart involvement.
A0103,Typhoid pneumonia,A medical condition known as typhoid pneumonia.
A0104,Typhoid arthritis,A medical condition known as typhoid arthritis.
A0105,Typhoid osteomyelitis,A medical condition known as typhoid osteomyelitis.
A0109,Typhoid fever with other complications,A medical condition known as typhoid fever with other complications.
A011,Paratyphoid fever A,A medical condition known as paratyphoid fever a.
A012,Paratyphoid fever B,A medical condition known as paratyphoid fever b.
A013,Paratyphoid fever C,A medical condition known as paratyphoid fever c.
A014,"Paratyphoid fever, unspecified","A medical condition known as paratyphoid fever, unspecified."
A020,Salmonella enteritis,A medical condition known as salmonella enteritis.
A021,Salmonella sepsis,A medical condition known as salmonella sepsis.
A0220,"Localized salmonella infection, unspecified","A medical condition known as localized salmonella infection, unspecified."
A0221,Salmonella meningitis,A medical condition known as salmonella meningitis.
A0222,Salmonella pneumonia,A medical condition known as salmonella pneumonia.
A0223,Salmonella arthritis,A medical condition known as salmonella arthritis.
A0224,Salmonella osteomyelitis,A medical condition known as salmonella osteomyelitis.
A0225,Salmonella pyelonephritis,A medical condition known as salmonella pyelonephritis.
A0229,Salmonella with other localized infection,A medical condition known as salmonella with other localized infection.
A028,Other specified salmonella infections,A medical condition known as other specified salmonella infections.
A029,"Salmonella infection, unspecified","A medical condition known as salmonella infection, unspecified."
A030,Shigellosis due to Shigella dysenteriae,A medical condition known as shigellosis due to shigella dysenteriae.
A033,Shigellosis due to Shigella sonnei,A medical condition known as shigellosis due to shigella sonnei.
A038,Other shigellosis,A medical condition known as other shigellosis.
A039,"Shigellosis, unspecified","A medical condition known as shigellosis, unspecified."
A040,Enteropathogenic Escherichia coli infection,A medical condition known as enteropathogenic escherichia coli infection.
A041,Enterotoxigenic Escherichia coli infection,A medical condition known as enterotoxigenic escherichia coli infection.
A042,Enteroinvasive Escherichia coli infection,A medical condition known as enteroinvasive escherichia coli infection.
A043,Enterohemorrhagic Escherichia coli infection,A medical condition known as enterohemorrhagic escherichia coli infection.
A044,Other intestinal Escherichia coli infections,A medical condition known as other intestinal escherichia coli infections.
A045,Campylobacter enteritis,A medical condition known as campylobacter enteritis.
A046,Enteritis due to Yersinia enterocolitica,A medical condition known as enteritis due to yersinia enterocolitica.
A047,Enterocolitis due to Clostridium difficile,A medical condition known as enterocolitis due to clostridium difficile.
A048,Other specified bacterial intestinal infections,A medical condition known as other specified bacterial intestinal infections.
A049,"Bacterial intestinal infection, unspecified","A medical condition known as bacterial intestinal infection, unspecified."
A050,Foodborne staphylococcal intoxication,A medical condition known as foodborne staphylococcal intoxication.
A051,Botulism food poisoning,A medical condition known as botulism food poisoning.
A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxi,A medical condition known as foodborne clostridium perfringens [clostridium welchii] intoxi.
A053,Foodborne Vibrio parahaemolyticus intoxication,A medical condition known as foodborne vibrio parahaemolyticus intoxication.
A054,Foodborne Bacillus cereus intoxication,A medical condition known as foodborne bacillus cereus intoxication.
A055,Foodborne Vibrio vulnificus intoxication,A medical condition known as foodborne vibrio vulnificus intoxication.
A058,Other specified bacterial foodborne intoxications,A medical condition known as other specified bacterial foodborne intoxications.
A059,"Bacterial foodborne intoxication, unspecified","A medical condition known as bacterial foodborne intoxication, unspecified."
A060,Acute amebic dysentery,A medical condition known as acute amebic dysentery.
A061,Chronic intestinal amebiasis,A medical condition known as chronic intestinal amebiasis.
A062,Amebic nondysenteric colitis,A medical condition known as amebic nondysenteric colitis.
A063,Ameboma of intestine,A medical condition known as ameboma of intestine.
A064,Amebic liver abscess,A medical condition known as amebic liver abscess.
A065,Amebic lung abscess,A medical condition known as amebic lung abscess.
A0681,Amebic cystitis,A medical condition known as amebic cystitis.
A0682,Other amebic genitourinary infections,A medical condition known as other amebic genitourinary infections.
A0689,Other amebic infections,A medical condition known as other amebic infections.
A069,"Amebiasis, unspecified","A medical condition known as amebiasis, unspecified."
A070,Balantidiasis,A medical condition known as balantidiasis.
A071,Giardiasis [lambliasis],A medical condition known as giardiasis [lambliasis].
A072,Cryptosporidiosis,A medical condition known as cryptosporidiosis.
A073,Isosporiasis,A medical condition known as isosporiasis.
A074,Cyclosporiasis,A medical condition known as cyclosporiasis.
A078,Other specified protozoal intestinal diseases,A medical condition known as other specified protozoal intestinal diseases.
A079,"Protozoal intestinal disease, unspecified","A medical condition known as protozoal intestinal disease, unspecified."
A080,Rotaviral enteritis,A medical condition known as rotaviral enteritis.
A0811,Acute gastroenteropathy due to Norwalk agent,A medical condition known as acute gastroenteropathy due to norwalk agent.
A0819,Acute gastroenteropathy due to other small round viruses,A medical condition known as acute gastroenteropathy due to other small round viruses.
A082,Adenoviral enteritis,A medical condition known as adenoviral enteritis.
A0831,Calicivirus enteritis,A medical condition known as calicivirus enteritis.
A0832,Astrovirus enteritis,A medical condition known as astrovirus enteritis.
A0839,Other viral enteritis,A medical condition known as other viral enteritis.
A084,"Viral intestinal infection, unspecified","A medical condition known as viral intestinal infection, unspecified."
A088,Other specified intestinal infections,A medical condition known as other specified intestinal infections.
A09,"Infectious gastroenteritis and colitis, unspecified","A medical condition known as infectious gastroenteritis and colitis, unspecified."
A150,Tuberculosis of lung,A medical condition known as tuberculosis of lung.
A154,Tuberculosis of intrathoracic lymph nodes,A medical condition known as tuberculosis of intrathoracic lymph nodes.
A155,"Tuberculosis of larynx, trachea and bronchus","A medical condition known as tuberculosis of larynx, trachea and bronchus."
A156,Tuberculous pleurisy,A medical condition known as tuberculous pleurisy.
A157,Primary respiratory tuberculosis,A medical condition known as primary respiratory tuberculosis.
A158,Other respiratory tuberculosis,A medical condition known as other respiratory tuberculosis.
A171,Meningeal tuberculoma,A medical condition known as meningeal tuberculoma.
A1781,Tuberculoma of brain and spinal cord,A medical condition known as tuberculoma of brain and spinal cord.
A1782,Tuberculous meningoencephalitis,A medical condition known as tuberculous meningoencephalitis.
A1783,Tuberculous neuritis,A medical condition known as tuberculous neuritis.
A1789,Other tuberculosis of nervous system,A medical condition known as other tuberculosis of nervous system.
